key_id,player_id,family_name,given_name,birth_date,goal_keeper,defender,midfielder,forward,count_tournaments
1,P-05074,ACourt,Alan,1934-09-30,0,0,0,1,1
2,P-00942,Abadzhiev,Stefan,1934-07-03,0,0,0,1,1
3,P-03051,Abalo,Jean-Paul,1975-06-26,0,1,0,0,1
4,P-03371,Abanda,Patrice,1978-08-03,0,1,0,0,1
5,P-04977,Abate,Ignazio,1986-11-12,0,1,0,0,1
6,P-06675,Abbadie,Julio,1930-09-07,0,0,0,1,1
7,P-02825,Abbes,Claude,1927-05-24,1,0,0,0,2
8,P-06214,Abbiati,Christian,1977-07-08,1,0,0,0,1
9,P-05883,Abbondanzieri,Roberto,1972-08-19,1,0,0,0,1
10,P-06019,Abd Al-Jawad,Mohamed,1962-11-28,0,1,0,0,1
11,P-06687,Abdel Rahman,Adel,1967-12-11,0,0,0,1,1
12,P-08319,Abdel Shafy,Mohamed,1985-07-01,0,1,0,0,1
13,P-00067,Abdel-Hamid,Gamal,1957-11-24,0,0,1,0,1
14,P-02311,Abdelghani,Magdi,1959-07-27,0,0,1,0,1
15,P-09113,Abdellah,Nacer,1966-03-03,0,1,0,0,1
16,P-01763,Abdollahi,Nasrollah,1951-09-02,0,1,0,0,1
17,P-02876,Abdoun,Djamel,1986-02-14,0,0,1,0,1
18,P-04573,Abdulghani,Hussein,1977-01-21,0,1,0,0,2
19,P-04135,Abdulghani,Hussein,1977-01-23,0,1,0,0,1
20,P-01597,Abdullah,Majed,1959-11-01,0,0,0,1,1
21,P-08180,Abdullahi,Shehu,1993-03-12,0,1,0,0,1
22,P-00800,Abdulrahman,Fahad,1962-10-10,0,0,1,0,1
23,P-05270,Abe,Yuki,1981-09-06,0,0,1,0,1
24,P-08280,Abedzadeh,Ahmad Reza,1966-05-25,1,0,0,0,1
25,P-04364,Abedzadeh,Amir,1993-04-26,1,0,0,0,1
26,P-09062,Abega,Théophile,1954-07-09,0,0,1,0,1
27,P-05367,Abegglen,André,1909-03-07,0,0,0,1,2
28,P-01401,Abel,not applicable,1952-09-01,0,1,0,0,1
29,P-08746,Abelardo,not applicable,1970-03-19,0,1,0,0,2
30,P-08688,Abeledo,Ramón,1937-04-29,0,0,1,0,1
31,P-01155,Abid,Anad,1955-08-03,0,0,0,1,1
32,P-01210,Abidal,Eric,1979-09-11,0,1,0,0,2
33,P-06418,Ablanedo,Juan Carlos,1963-09-02,1,0,0,0,2
34,P-03781,Abonyi,Attila,1946-08-16,0,0,0,1,1
35,P-00061,Aboubakar,Vincent,1992-01-22,0,0,0,1,2
36,P-05726,Abouzeid,Taher,1962-04-10,0,0,1,0,1
37,P-03821,Abrahamsson,Henock,1909-10-29,1,0,0,0,1
38,P-03561,Abramczik,Rüdiger,1956-02-18,0,0,0,1,1
39,P-07032,Abrami,Lahcen,1969-12-31,0,1,0,0,1
40,P-01284,Abreu,Marco,1974-12-08,0,1,0,0,1
41,P-09248,Abreu,Sebastián,1976-10-17,0,0,0,1,2
42,P-02948,Acácio,not applicable,1959-01-20,1,0,0,0,1
43,P-08293,Acasuzo,Eusebio,1952-04-08,1,0,0,0,1
44,P-03927,Aceros,Germán,1938-09-30,0,0,0,1,1
45,P-00687,Aceval,Danilo,1975-09-15,1,0,0,0,1
46,P-04924,Acevedo,David,1937-02-20,0,1,0,0,1
47,P-08292,Acevedo,Eduardo Mario,1959-09-25,0,1,0,0,1
48,P-00615,Acevedo,Elmer,1946-02-24,0,0,0,1,1
49,P-00263,Achá,Alberto,1917-02-18,0,1,0,0,1
50,P-04368,Achilier,Gabriel,1985-03-24,0,1,0,0,1
51,P-04394,Achúcarro,Ignacio,1936-07-31,0,1,0,0,1
52,P-09405,Aćimović,Jovan,1948-06-21,0,0,1,0,1
53,P-00419,Ačimovič,Milenko,1977-02-15,0,0,0,1,1
54,P-01630,Acosta,Jhonny,1983-07-21,0,1,0,0,2
55,P-07165,Acquah,Afriyie,1992-01-05,0,0,1,0,1
56,P-07169,Acuña,Clarence,1975-02-08,0,0,1,0,1
57,P-00912,Acuña,Juan,1923-01-11,1,0,0,0,1
58,P-05355,Acuña,Marcos,1991-10-28,0,1,0,0,1
59,P-07815,Acuña,Roberto,1972-03-25,0,0,1,0,3
60,P-05203,Adam,Glen,1959-05-22,0,1,0,0,1
61,P-00659,Adamache,Stere,1941-08-17,1,0,0,0,1
62,P-03688,Adamec,Jozef,1942-02-26,0,0,0,1,2
63,P-08988,Adams,Ferdinand,1903-05-03,0,0,0,1,1
64,P-06941,Adams,Stephen,1989-09-28,1,0,0,0,1
65,P-08896,Adams,Tony,1966-10-10,0,1,0,0,1
66,P-07835,Adamson,Jimmy,1929-04-04,0,0,1,0,1
67,P-03870,Adãozinho,not applicable,1923-04-02,0,0,0,1,1
68,P-00163,Addo,Eric,1978-11-12,0,1,0,0,1
69,P-09971,Addo,Otto,1975-06-09,0,0,0,1,1
70,P-08496,Addy,Lee,1985-09-26,0,1,0,0,1
71,P-05661,Adebayor,Emmanuel,1984-02-26,0,0,0,1,1
72,P-06220,Adelardo,not applicable,1939-09-26,0,0,1,0,2
73,P-08351,Adeleye,Dele,1988-12-25,0,1,0,0,1
74,P-04188,Ademir,not applicable,1922-11-08,0,0,0,1,1
75,P-07662,Adepoju,Mutiu,1970-12-22,0,0,1,0,3
76,P-00088,Adiyiah,Dominic,1989-11-29,0,0,0,1,1
77,P-07070,Adjei,Sammy,1980-09-01,1,0,0,0,1
78,P-02968,Ado,not applicable,1946-07-04,1,0,0,0,1
79,P-05758,Adomah,Albert,1987-12-13,0,0,1,0,1
80,P-08367,Adriano,not applicable,1982-02-17,0,0,0,1,1
81,P-08418,Advíncula,Luis,1990-03-02,0,1,0,0,1
82,P-09079,Aeby,Georges,1910-09-10,0,0,0,1,1
83,P-00906,Aeby,Paul,1910-09-10,0,0,0,1,1
84,P-02560,Afellay,Ibrahim,1986-04-02,0,0,1,0,1
85,P-07574,Afful,Harrison,1986-06-24,0,1,0,0,1
86,P-02686,Afolabi,Rabiu,1980-04-18,0,1,0,0,2
87,P-05721,Afonin,Valentin,1939-12-22,0,1,1,0,2
88,P-08254,Afonsinho,not applicable,1914-03-08,0,0,1,0,1
89,P-05991,Agassa,Kossi,1978-07-02,1,0,0,0,1
90,P-09211,Agbim,Chigozie,1984-11-28,1,0,0,0,1
91,P-07029,Agbo,Hans,1967-09-26,0,1,0,0,1
92,P-07762,Agboh,Kuami,1977-12-28,0,0,1,0,1
93,P-05233,Agbonavbare,Wilfred,1966-10-05,1,0,0,0,1
94,P-08906,Agger,Daniel,1984-12-12,0,1,0,0,1
95,P-04240,Aghahowa,Julius,1982-02-12,0,0,0,1,1
96,P-07349,Agoos,Jeff,1968-05-02,0,1,0,0,2
97,P-03564,Agrebi,Hamadi,1951-03-20,0,0,1,0,1
98,P-03208,Agu,Alloysius,1967-07-12,1,0,0,0,1
99,P-00354,Águas,Rui,1960-04-28,0,0,0,1,1
100,P-09997,Agüero,Juan Bautista,1935-06-24,0,0,0,1,1
101,P-01157,Agüero,Sergio,1988-06-02,0,0,0,1,3
102,P-09009,Aguilar,Abel,1985-01-06,0,0,1,0,2
103,P-08992,Aguilar,Paul,1986-03-06,0,1,0,0,2
104,P-07137,Aguilar,Samuel,1933-03-16,1,0,0,0,1
105,P-07757,Aguilera,Carlos,1964-09-21,0,0,0,1,2
106,P-09611,Aguilera,Carlos,1969-05-22,0,1,0,0,1
107,P-05744,Aguilera,Edgar,1975-07-28,0,1,0,0,1
108,P-00815,Aguilera,Juan,1903-10-23,0,0,0,1,1
109,P-08649,Aguilera,Oscar,1935-03-11,0,0,0,1,1
110,P-05308,Aguinaga,Álex,1968-07-09,0,0,1,0,1
111,P-00053,Aguirre,Francisco,not available,0,0,1,0,1
112,P-05703,Aguirre,Javier,1958-12-01,0,0,1,0,1
113,P-03329,Agyei,Daniel,1989-11-10,1,0,0,0,1
114,P-04018,Agyemang-Badu,Emmanuel,1990-12-02,0,0,1,0,1
115,P-00513,Ahlström,Thomas,1952-07-17,0,0,1,0,1
116,P-04700,Åhlund,Olle,1920-08-22,0,0,1,0,1
117,P-04020,Ahmadi,Rahman,1980-07-30,1,0,0,0,1
118,P-00980,Åhman,Ronald,1957-01-31,0,0,1,0,1
119,P-02885,Ahmed,Issah,1982-05-24,0,1,0,0,1
120,P-07103,Ahn,Jung-hwan,1976-01-27,0,0,0,1,3
121,P-04538,Ahorlu,Stephen,1988-09-05,1,0,0,0,1
122,P-01444,Ahumada,Sergio,1948-10-02,0,0,0,1,1
123,P-05481,Aigner,Ernst,1966-10-31,0,1,0,0,1
124,P-08308,Aimar,Pablo,1979-11-03,0,0,1,0,2
125,P-00834,Aird,Jock,1926-02-18,0,1,0,0,1
126,P-00577,Airosa,Marco,1984-08-06,0,1,0,0,1
127,P-01832,Aït Bennasser,Youssef,1996-07-07,0,0,1,0,1
128,P-04735,Aitken,Roy,1958-11-24,0,1,0,0,2
129,P-04960,Aiyenugba,Dele,1983-11-20,1,0,0,0,1
130,P-04983,Akalé,Kanga,1981-03-07,0,0,1,0,1
131,P-07871,Akanji,Manuel,1995-07-19,0,1,0,0,1
