key_id,tournament_id,team_id,count_matches,performance
1,WC-1930,T-03,5,final
2,WC-1930,T-06,2,group stage
3,WC-1930,T-07,2,group stage
4,WC-1930,T-09,2,group stage
5,WC-1930,T-13,3,group stage
6,WC-1930,T-28,3,group stage
7,WC-1930,T-44,3,group stage
8,WC-1930,T-53,2,group stage
9,WC-1930,T-54,2,group stage
10,WC-1930,T-58,2,group stage
11,WC-1930,T-79,3,semi-finals
12,WC-1930,T-80,4,final
13,WC-1930,T-83,3,semi-finals
14,WC-1934,T-03,1,round of 16
15,WC-1934,T-05,4,third-place match
16,WC-1934,T-06,1,round of 16
17,WC-1934,T-09,1,round of 16
18,WC-1934,T-20,4,final
19,WC-1934,T-25,1,round of 16
20,WC-1934,T-28,1,round of 16
21,WC-1934,T-29,4,third-place match
22,WC-1934,T-34,2,quarter-finals
23,WC-1934,T-39,5,final
24,WC-1934,T-46,1,round of 16
25,WC-1934,T-58,1,round of 16
26,WC-1934,T-70,3,quarter-finals
27,WC-1934,T-71,2,quarter-finals
28,WC-1934,T-72,2,quarter-finals
29,WC-1934,T-79,1,round of 16
30,WC-1938,T-06,1,round of 16
31,WC-1938,T-09,5,third-place match
32,WC-1938,T-18,3,quarter-finals
33,WC-1938,T-20,3,quarter-finals
34,WC-1938,T-22,1,round of 16
35,WC-1938,T-28,2,quarter-finals
36,WC-1938,T-29,2,round of 16
37,WC-1938,T-34,4,final
38,WC-1938,T-39,4,final
39,WC-1938,T-46,1,round of 16
40,WC-1938,T-51,1,round of 16
41,WC-1938,T-55,1,round of 16
42,WC-1938,T-58,2,round of 16
43,WC-1938,T-71,3,third-place match
44,WC-1938,T-72,3,quarter-finals
45,WC-1950,T-07,1,group stage
46,WC-1950,T-09,6,final round
47,WC-1950,T-13,3,group stage
48,WC-1950,T-27,3,group stage
49,WC-1950,T-39,2,group stage
50,WC-1950,T-44,3,group stage
51,WC-1950,T-53,2,group stage
52,WC-1950,T-70,6,final round
53,WC-1950,T-71,5,final round
54,WC-1950,T-72,3,group stage
55,WC-1950,T-79,3,group stage
56,WC-1950,T-80,4,final round
57,WC-1950,T-83,3,group stage
58,WC-1954,T-05,5,third-place match
59,WC-1954,T-06,2,group stage
60,WC-1954,T-09,3,quarter-finals
61,WC-1954,T-20,2,group stage
62,WC-1954,T-27,3,quarter-finals
63,WC-1954,T-28,2,group stage
64,WC-1954,T-34,5,final
65,WC-1954,T-39,3,group stage
66,WC-1954,T-44,2,group stage
67,WC-1954,T-61,2,group stage
68,WC-1954,T-68,2,group stage
69,WC-1954,T-72,4,quarter-finals
70,WC-1954,T-76,3,group stage
71,WC-1954,T-80,5,third-place match
72,WC-1954,T-82,6,final
73,WC-1954,T-83,3,quarter-finals
74,WC-1958,T-03,3,group stage
75,WC-1958,T-05,3,group stage
76,WC-1958,T-09,6,final
77,WC-1958,T-20,4,group stage
78,WC-1958,T-27,4,group stage
79,WC-1958,T-28,6,third-place match
80,WC-1958,T-34,4,group stage
81,WC-1958,T-44,3,group stage
82,WC-1958,T-50,5,quarter-finals
83,WC-1958,T-53,3,group stage
84,WC-1958,T-61,3,group stage
85,WC-1958,T-69,5,quarter-finals
86,WC-1958,T-71,6,final
87,WC-1958,T-81,5,quarter-finals
88,WC-1958,T-82,6,third-place match
89,WC-1958,T-83,4,quarter-finals
90,WC-1962,T-03,3,group stage
91,WC-1962,T-09,6,final
92,WC-1962,T-10,3,group stage
93,WC-1962,T-13,6,third-place match
94,WC-1962,T-15,3,group stage
95,WC-1962,T-20,6,final
96,WC-1962,T-27,4,quarter-finals
97,WC-1962,T-34,4,quarter-finals
98,WC-1962,T-39,3,group stage
99,WC-1962,T-44,3,group stage
100,WC-1962,T-69,4,quarter-finals
101,WC-1962,T-70,3,group stage
102,WC-1962,T-72,3,group stage
103,WC-1962,T-80,3,group stage
104,WC-1962,T-82,4,quarter-finals
105,WC-1962,T-83,6,third-place match
106,WC-1966,T-03,4,quarter-finals
107,WC-1966,T-09,3,group stage
108,WC-1966,T-10,3,group stage
109,WC-1966,T-13,3,group stage
110,WC-1966,T-27,6,final
111,WC-1966,T-28,3,group stage
112,WC-1966,T-34,4,quarter-finals
113,WC-1966,T-39,3,group stage
114,WC-1966,T-44,3,group stage
115,WC-1966,T-49,4,quarter-finals
116,WC-1966,T-56,6,third-place match
117,WC-1966,T-69,6,third-place match
118,WC-1966,T-70,3,group stage
119,WC-1966,T-72,3,group stage
120,WC-1966,T-80,4,quarter-finals
121,WC-1966,T-82,6,final
122,WC-1970,T-06,3,group stage
123,WC-1970,T-09,6,final
124,WC-1970,T-10,3,group stage
125,WC-1970,T-20,3,group stage
126,WC-1970,T-26,3,group stage
127,WC-1970,T-27,4,quarter-finals
128,WC-1970,T-38,3,group stage
129,WC-1970,T-39,6,final
130,WC-1970,T-44,4,quarter-finals
131,WC-1970,T-45,3,group stage
132,WC-1970,T-54,4,quarter-finals
133,WC-1970,T-58,3,group stage
134,WC-1970,T-69,4,quarter-finals
135,WC-1970,T-71,3,group stage
136,WC-1970,T-80,6,third-place match
137,WC-1970,T-82,6,third-place match
138,WC-1974,T-03,6,second group stage
139,WC-1974,T-04,3,group stage
140,WC-1974,T-09,7,third-place match
141,WC-1974,T-10,3,group stage
142,WC-1974,T-13,3,group stage
143,WC-1974,T-23,6,second group stage
144,WC-1974,T-32,3,group stage
145,WC-1974,T-39,3,group stage
146,WC-1974,T-46,7,final
147,WC-1974,T-55,7,third-place match
148,WC-1974,T-61,3,group stage
149,WC-1974,T-71,6,second group stage
150,WC-1974,T-80,3,group stage
151,WC-1974,T-82,7,final
152,WC-1974,T-83,6,second group stage
153,WC-1974,T-84,3,group stage
154,WC-1978,T-03,7,final
155,WC-1978,T-05,6,second group stage
156,WC-1978,T-09,7,third-place match
157,WC-1978,T-28,3,group stage
158,WC-1978,T-34,3,group stage
159,WC-1978,T-36,3,group stage
160,WC-1978,T-39,7,third-place match
161,WC-1978,T-44,3,group stage
162,WC-1978,T-46,7,final
163,WC-1978,T-54,6,second group stage
164,WC-1978,T-55,6,second group stage
165,WC-1978,T-61,3,group stage
166,WC-1978,T-70,3,group stage
167,WC-1978,T-71,3,group stage
168,WC-1978,T-75,3,group stage
169,WC-1978,T-82,6,second group stage
170,WC-1982,T-01,3,group stage
171,WC-1982,T-03,5,second group stage
172,WC-1982,T-05,5,second group stage
173,WC-1982,T-06,5,second group stage
174,WC-1982,T-09,5,second group stage
175,WC-1982,T-11,3,group stage
176,WC-1982,T-13,3,group stage
177,WC-1982,T-20,3,group stage
178,WC-1982,T-26,3,group stage
179,WC-1982,T-27,5,second group stage
180,WC-1982,T-28,7,third-place match
181,WC-1982,T-33,3,group stage
182,WC-1982,T-34,3,group stage
183,WC-1982,T-39,7,final
184,WC-1982,T-43,3,group stage
185,WC-1982,T-47,3,group stage
186,WC-1982,T-50,5,second group stage
187,WC-1982,T-54,3,group stage
188,WC-1982,T-55,7,third-place match
189,WC-1982,T-61,3,group stage
190,WC-1982,T-69,5,second group stage
191,WC-1982,T-70,5,second group stage
192,WC-1982,T-82,7,final
193,WC-1982,T-83,3,group stage
194,WC-1986,T-01,3,group stage
195,WC-1986,T-03,7,final
196,WC-1986,T-06,7,third-place match
197,WC-1986,T-09,5,quarter-finals
198,WC-1986,T-10,4,round of 16
199,WC-1986,T-12,3,group stage
200,WC-1986,T-21,4,round of 16
201,WC-1986,T-27,5,quarter-finals
202,WC-1986,T-28,7,third-place match
203,WC-1986,T-34,3,group stage
204,WC-1986,T-37,3,group stage
205,WC-1986,T-39,4,round of 16
206,WC-1986,T-44,5,quarter-finals
207,WC-1986,T-45,4,round of 16
208,WC-1986,T-50,3,group stage
209,WC-1986,T-53,4,round of 16
210,WC-1986,T-55,4,round of 16
211,WC-1986,T-56,3,group stage
212,WC-1986,T-61,3,group stage
213,WC-1986,T-68,3,group stage
214,WC-1986,T-69,4,round of 16
215,WC-1986,T-70,5,quarter-finals
216,WC-1986,T-80,4,round of 16
217,WC-1986,T-82,7,final
218,WC-1990,T-03,7,final
219,WC-1990,T-05,3,group stage
220,WC-1990,T-06,4,round of 16
221,WC-1990,T-09,4,round of 16
222,WC-1990,T-11,5,quarter-finals
223,WC-1990,T-15,4,round of 16
224,WC-1990,T-16,4,round of 16
225,WC-1990,T-20,5,quarter-finals
226,WC-1990,T-25,3,group stage
227,WC-1990,T-27,7,third-place match
228,WC-1990,T-39,7,third-place match
229,WC-1990,T-46,4,round of 16
230,WC-1990,T-57,5,quarter-finals
231,WC-1990,T-58,4,round of 16
232,WC-1990,T-61,3,group stage
233,WC-1990,T-68,3,group stage
234,WC-1990,T-69,3,group stage
235,WC-1990,T-70,4,round of 16
236,WC-1990,T-71,3,group stage
237,WC-1990,T-78,3,group stage
238,WC-1990,T-79,3,group stage
239,WC-1990,T-80,4,round of 16
240,WC-1990,T-82,7,final
241,WC-1990,T-83,5,quarter-finals
242,WC-1994,T-03,4,round of 16
243,WC-1994,T-06,4,round of 16
244,WC-1994,T-07,3,group stage
245,WC-1994,T-09,7,final
246,WC-1994,T-10,7,third-place match
247,WC-1994,T-11,3,group stage
248,WC-1994,T-15,3,group stage
249,WC-1994,T-29,5,quarter-finals
250,WC-1994,T-31,3,group stage
251,WC-1994,T-39,7,final
252,WC-1994,T-44,4,round of 16
253,WC-1994,T-45,3,group stage
254,WC-1994,T-46,5,quarter-finals
255,WC-1994,T-48,4,round of 16
256,WC-1994,T-51,3,group stage
257,WC-1994,T-57,4,round of 16
258,WC-1994,T-58,5,quarter-finals
259,WC-1994,T-59,3,group stage
260,WC-1994,T-60,4,round of 16
261,WC-1994,T-68,3,group stage
262,WC-1994,T-70,5,quarter-finals
263,WC-1994,T-71,7,third-place match
264,WC-1994,T-72,4,round of 16
265,WC-1994,T-79,4,round of 16
266,WC-1998,T-03,5,quarter-finals
267,WC-1998,T-05,3,group stage
268,WC-1998,T-06,3,group stage
269,WC-1998,T-09,7,final
270,WC-1998,T-10,3,group stage
271,WC-1998,T-11,3,group stage
272,WC-1998,T-13,4,round of 16
273,WC-1998,T-15,3,group stage
274,WC-1998,T-17,7,third-place match
275,WC-1998,T-21,5,quarter-finals
276,WC-1998,T-27,4,round of 16
277,WC-1998,T-28,7,final
278,WC-1998,T-29,5,quarter-finals
279,WC-1998,T-36,3,group stage
280,WC-1998,T-39,5,quarter-finals
281,WC-1998,T-41,3,group stage
282,WC-1998,T-42,3,group stage
283,WC-1998,T-44,4,round of 16
284,WC-1998,T-45,3,group stage
285,WC-1998,T-46,7,third-place match
286,WC-1998,T-48,4,round of 16
287,WC-1998,T-51,4,round of 16
288,WC-1998,T-53,4,round of 16
289,WC-1998,T-58,4,round of 16
290,WC-1998,T-60,3,group stage
291,WC-1998,T-61,3,group stage
292,WC-1998,T-67,3,group stage
293,WC-1998,T-68,3,group stage
294,WC-1998,T-70,3,group stage
295,WC-1998,T-75,3,group stage
296,WC-1998,T-79,3,group stage
297,WC-1998,T-83,4,round of 16
298,WC-2002,T-03,3,group stage
299,WC-2002,T-06,4,round of 16
300,WC-2002,T-09,7,final
301,WC-2002,T-11,3,group stage
302,WC-2002,T-14,3,group stage
303,WC-2002,T-16,3,group stage
304,WC-2002,T-17,3,group stage
305,WC-2002,T-21,4,round of 16
306,WC-2002,T-24,3,group stage
307,WC-2002,T-27,5,quarter-finals
308,WC-2002,T-28,3,group stage
309,WC-2002,T-29,7,final
310,WC-2002,T-39,4,round of 16
311,WC-2002,T-42,4,round of 16
312,WC-2002,T-44,4,round of 16
313,WC-2002,T-48,3,group stage
314,WC-2002,T-53,4,round of 16
315,WC-2002,T-55,3,group stage
316,WC-2002,T-56,3,group stage
317,WC-2002,T-57,4,round of 16
318,WC-2002,T-59,3,group stage
319,WC-2002,T-60,3,group stage
320,WC-2002,T-62,5,quarter-finals
321,WC-2002,T-66,3,group stage
322,WC-2002,T-67,3,group stage
323,WC-2002,T-68,7,third-place match
324,WC-2002,T-70,5,quarter-finals
325,WC-2002,T-71,4,round of 16
326,WC-2002,T-75,3,group stage
327,WC-2002,T-76,7,third-place match
328,WC-2002,T-79,5,quarter-finals
329,WC-2002,T-80,3,group stage
330,WC-2006,T-02,3,group stage
331,WC-2006,T-03,5,quarter-finals
332,WC-2006,T-04,4,round of 16
333,WC-2006,T-09,5,quarter-finals
334,WC-2006,T-16,3,group stage
335,WC-2006,T-17,3,group stage
336,WC-2006,T-19,3,group stage
337,WC-2006,T-24,4,round of 16
338,WC-2006,T-27,5,quarter-finals
339,WC-2006,T-28,7,final
340,WC-2006,T-29,7,third-place match
341,WC-2006,T-30,4,round of 16
342,WC-2006,T-36,3,group stage
343,WC-2006,T-39,7,final
344,WC-2006,T-40,3,group stage
345,WC-2006,T-42,3,group stage
346,WC-2006,T-44,4,round of 16
347,WC-2006,T-46,4,round of 16
348,WC-2006,T-53,3,group stage
349,WC-2006,T-55,3,group stage
350,WC-2006,T-56,7,third-place match
351,WC-2006,T-60,3,group stage
352,WC-2006,T-64,3,group stage
353,WC-2006,T-68,3,group stage
354,WC-2006,T-70,4,round of 16
355,WC-2006,T-71,4,round of 16
356,WC-2006,T-72,4,round of 16
357,WC-2006,T-73,3,group stage
358,WC-2006,T-74,3,group stage
359,WC-2006,T-75,3,group stage
360,WC-2006,T-77,5,quarter-finals
361,WC-2006,T-79,3,group stage
362,WC-2010,T-01,3,group stage
363,WC-2010,T-03,5,quarter-finals
364,WC-2010,T-04,3,group stage
365,WC-2010,T-09,5,quarter-finals
366,WC-2010,T-11,3,group stage
367,WC-2010,T-13,4,round of 16
368,WC-2010,T-21,3,group stage
369,WC-2010,T-27,4,round of 16
370,WC-2010,T-28,3,group stage
371,WC-2010,T-29,7,third-place match
372,WC-2010,T-30,5,quarter-finals
373,WC-2010,T-31,3,group stage
374,WC-2010,T-33,3,group stage
375,WC-2010,T-39,3,group stage
376,WC-2010,T-40,3,group stage
377,WC-2010,T-42,4,round of 16
378,WC-2010,T-44,4,round of 16
379,WC-2010,T-46,7,final
380,WC-2010,T-47,3,group stage
381,WC-2010,T-48,3,group stage
382,WC-2010,T-49,3,group stage
383,WC-2010,T-53,5,quarter-finals
384,WC-2010,T-56,4,round of 16
385,WC-2010,T-63,3,group stage
386,WC-2010,T-65,4,round of 16
387,WC-2010,T-66,3,group stage
388,WC-2010,T-67,3,group stage
389,WC-2010,T-68,4,round of 16
390,WC-2010,T-70,7,final
391,WC-2010,T-72,3,group stage
392,WC-2010,T-79,4,round of 16
393,WC-2010,T-80,7,third-place match
394,WC-2014,T-01,4,round of 16
395,WC-2014,T-03,7,final
396,WC-2014,T-04,3,group stage
397,WC-2014,T-06,5,quarter-finals
398,WC-2014,T-08,3,group stage
399,WC-2014,T-09,7,third-place match
400,WC-2014,T-11,3,group stage
401,WC-2014,T-13,4,round of 16
402,WC-2014,T-15,5,quarter-finals
403,WC-2014,T-16,5,quarter-finals
404,WC-2014,T-17,3,group stage
405,WC-2014,T-24,3,group stage
